Date	1M
10.08.2001	29.53
13.08.2001	29.535
14.08.2001	29.54
15.08.2001	29.525
16.08.2001	29.535
20.08.2001	29.575
21.08.2001	29.559
23.08.2001	29.54
24.08.2001	29.568
27.08.2001	29.545
28.08.2001	29.545
29.08.2001	29.559
30.08.2001	29.637
31.08.2001	29.613
03.09.2001	29.615
04.09.2001	29.658
05.09.2001	29.655
06.09.2001	29.648
07.09.2001	29.64
10.09.2001	29.652
12.09.2001	29.662
13.09.2001	29.661
14.09.2001	29.665
18.09.2001	29.685
19.09.2001	29.69
20.09.2001	29.631
21.09.2001	29.643
24.09.2001	29.662
26.09.2001	29.651
28.09.2001	29.707
01.10.2001	29.707
02.10.2001	29.734
03.10.2001	29.745
04.10.2001	29.756
05.10.2001	29.743
08.10.2001	29.736
09.10.2001	29.762
10.10.2001	29.774
11.10.2001	29.773
12.10.2001	29.733
15.10.2001	29.745
16.10.2001	29.778
17.10.2001	29.791
18.10.2001	29.781
22.10.2001	29.794
23.10.2001	29.809
24.10.2001	29.81
25.10.2001	29.859
26.10.2001	29.936
29.10.2001	29.914
31.10.2001	29.944
01.11.2001	29.995
05.11.2001	29.98
06.11.2001	30.018
08.11.2001	29.983
14.11.2001	30.005
15.11.2001	30.08
16.11.2001	30.115
19.11.2001	30.13
20.11.2001	30.189
21.11.2001	30.215
22.11.2001	30.23
23.11.2001	30.225
26.11.2001	30.263
28.11.2001	30.262
29.11.2001	30.263
30.11.2001	30.27
03.12.2001	30.317
07.12.2001	30.499
10.12.2001	30.495
13.12.2001	30.885
14.12.2001	30.895
17.12.2001	30.87
18.12.2001	30.82
19.12.2001	30.875
20.12.2001	30.88
21.12.2001	30.806
25.12.2001	30.67
26.12.2001	30.717
03.01.2002	30.915
04.01.2002	30.905
08.01.2002	30.85
09.01.2002	30.85
10.01.2002	30.827
14.01.2002	30.79
15.01.2002	30.88
16.01.2002	30.888
17.01.2002	30.9425
18.01.2002	30.95
21.01.2002	30.955
22.01.2002	30.935
23.01.2002	30.915
24.01.2002	30.99
25.01.2002	30.967
28.01.2002	30.967
29.01.2002	31.005
30.01.2002	31.01
31.01.2002	31
01.02.2002	31.03
04.02.2002	31.05
05.02.2002	31.042
06.02.2002	31.042
08.02.2002	31.115
11.02.2002	31.139
12.02.2002	31.167
13.02.2002	31.167
14.02.2002	31.167
12.03.2002	31.435
18.03.2002	31.529
19.03.2002	31.544
20.03.2002	31.547
21.03.2002	31.552
22.03.2002	31.552
02.04.2002	31.561
08.04.2002	31.565
09.04.2002	31.55
19.04.2002	31.499
22.04.2002	31.493
23.04.2002	31.493
30.04.2002	31.515
13.05.2002	31.5445
14.05.2002	31.56
15.05.2002	31.535
16.05.2002	31.545
20.05.2002	31.53
21.05.2002	31.54
23.05.2002	31.55
24.05.2002	31.55
27.05.2002	31.57
31.05.2002	31.535
03.06.2002	31.52
04.06.2002	31.515
05.06.2002	31.64
06.06.2002	31.65
07.06.2002	31.635
10.06.2002	31.65
11.06.2002	31.66
13.06.2002	31.645
17.06.2002	31.64
18.06.2002	31.65
01.07.2002	31.75
29.07.2002	31.74
14.08.2002	31.815
16.08.2002	31.825
22.08.2002	31.83
20.09.2002	31.89
14.10.2002	31.93
30.10.2002	32.03
31.10.2002	32.04
04.11.2002	32.082
05.11.2002	32.055
11.11.2002	32.1
12.11.2002	32.065
14.11.2002	32.055
18.11.2002	32.0625
20.11.2002	32.07
21.11.2002	32.055
26.11.2002	32.0963
27.11.2002	32.105
28.11.2002	32.11
02.12.2002	32.25
03.12.2002	32.24
04.12.2002	32.185
06.12.2002	32.16
09.12.2002	32.14
10.12.2002	32.16
11.12.2002	32.14
16.12.2002	32.13
18.12.2002	32.135
19.12.2002	32.12
20.12.2002	32.075
23.12.2002	32.125
26.12.2002	32.125
30.12.2002	32.165
08.01.2003	32.0415
09.01.2003	32.0385
17.01.2003	31.9715
20.01.2003	31.9875
21.01.2003	32.0245
24.01.2003	31.95
27.01.2003	31.9575
28.01.2003	31.95
31.01.2003	31.989
03.02.2003	31.9685
04.02.2003	31.9718
12.02.2003	31.717
13.02.2003	31.7135
14.02.2003	31.696
17.02.2003	31.6413
18.02.2003	31.6185
19.02.2003	31.6415
20.02.2003	31.5725
21.02.2003	31.6125
13.03.2003	31.4348
17.03.2003	31.445
18.03.2003	31.4913
19.03.2003	31.4613
03.04.2003	31.33
11.04.2003	31.325
16.04.2003	31.235
24.04.2003	31.16
25.04.2003	31.15
28.04.2003	31.14
16.05.2003	30.935
28.05.2003	30.63
29.05.2003	30.73
17.06.2003	30.3917
07.07.2003	30.3471
25.07.2003	30.3396
30.07.2003	30.3475
06.08.2003	30.3567
07.08.2003	30.4102
08.08.2003	30.4781
21.08.2003	30.3956
22.08.2003	30.3771
03.09.2003	30.6993
18.09.2003	30.725
19.09.2003	30.6688
22.09.2003	30.624
23.09.2003	30.5675
24.09.2003	30.5525
25.09.2003	30.595
26.09.2003	30.6491
29.09.2003	30.78
08.10.2003	30.4258
09.10.2003	30.19
13.10.2003	30.19
14.10.2003	30.17
15.10.2003	30.1495
16.10.2003	30.1188
17.10.2003	30.0989
27.10.2003	30.1852
31.10.2003	30.16
03.11.2003	30.06
04.11.2003	30.0108
05.11.2003	29.9076
06.11.2003	29.9101
12.11.2003	29.9407
13.11.2003	29.9276
14.11.2003	29.8953
17.11.2003	29.882
18.11.2003	29.8622
20.11.2003	29.8902
26.11.2003	29.8008
28.11.2003	29.8055
01.12.2003	29.7705
02.12.2003	29.7782
03.12.2003	29.7365
04.12.2003	29.715
08.12.2003	29.5809
09.12.2003	29.565
16.12.2003	29.236
17.12.2003	29.2745
13.01.2004	28.7635
19.01.2004	28.7705
20.01.2004	28.69
21.01.2004	28.6545
22.01.2004	28.4821
23.01.2004	28.3765
26.01.2004	28.47
27.01.2004	28.384
28.01.2004	28.395
29.01.2004	28.3975
30.01.2004	28.5
02.02.2004	28.5815
03.02.2004	28.5261
04.02.2004	28.379
06.02.2004	28.455
04.03.2004	28.62
23.03.2004	28.474
25.03.2004	28.483
01.04.2004	28.522
06.04.2004	28.5685
29.04.2004	29.12
13.05.2004	29.2275
19.05.2004	29.1276
20.05.2004	29.181
24.05.2004	29.1745
25.05.2004	29.123
27.05.2004	29.1725
01.06.2004	29.2065
08.07.2004	29.28
09.07.2004	29.29
19.07.2004	29.176
29.07.2004	29.2065
09.08.2004	29.3417
10.08.2004	29.361
19.08.2004	29.347
20.08.2004	29.3525
23.08.2004	29.3515
24.08.2004	29.359
03.09.2004	29.353
07.09.2004	29.3535
09.09.2004	29.311
10.09.2004	29.301
