Date	1W
10.08.2001	29.37
13.08.2001	29.37
14.08.2001	29.375
15.08.2001	29.36
16.08.2001	29.37
20.08.2001	29.41
21.08.2001	29.394
23.08.2001	29.38
24.08.2001	29.403
27.08.2001	29.4
28.08.2001	29.38
29.08.2001	29.394
30.08.2001	29.472
31.08.2001	29.453
03.09.2001	29.46
04.09.2001	29.498
05.09.2001	29.5
06.09.2001	29.488
07.09.2001	29.48
10.09.2001	29.492
12.09.2001	29.502
13.09.2001	29.511
14.09.2001	29.5
18.09.2001	29.49
19.09.2001	29.495
20.09.2001	29.456
21.09.2001	29.468
24.09.2001	29.487
26.09.2001	29.446
28.09.2001	29.507
01.10.2001	29.492
02.10.2001	29.524
03.10.2001	29.535
04.10.2001	29.571
05.10.2001	29.558
08.10.2001	29.551
09.10.2001	29.577
10.10.2001	29.589
11.10.2001	29.588
12.10.2001	29.548
15.10.2001	29.56
16.10.2001	29.593
17.10.2001	29.606
18.10.2001	29.596
22.10.2001	29.609
23.10.2001	29.624
24.10.2001	29.625
25.10.2001	29.674
26.10.2001	29.751
29.10.2001	29.729
31.10.2001	29.759
01.11.2001	29.81
05.11.2001	29.795
06.11.2001	29.788
08.11.2001	29.753
14.11.2001	29.775
15.11.2001	29.85
16.11.2001	29.88
19.11.2001	29.9
20.11.2001	29.959
21.11.2001	29.985
22.11.2001	30
23.11.2001	29.995
26.11.2001	30.038
28.11.2001	30.032
29.11.2001	30.038
30.11.2001	29.995
03.12.2001	30.027
07.12.2001	30.159
10.12.2001	30.155
13.12.2001	30.415
14.12.2001	30.415
17.12.2001	30.415
18.12.2001	30.385
19.12.2001	30.42
03.01.2002	30.675
04.01.2002	30.675
08.01.2002	30.61
09.01.2002	30.61
10.01.2002	30.587
14.01.2002	30.535
15.01.2002	30.6
16.01.2002	30.608
17.01.2002	30.6625
18.01.2002	30.67
21.01.2002	30.675
22.01.2002	30.655
23.01.2002	30.635
24.01.2002	30.715
25.01.2002	30.692
28.01.2002	30.692
29.01.2002	30.745
30.01.2002	30.78
31.01.2002	30.78
01.02.2002	30.81
04.02.2002	30.83
05.02.2002	30.822
06.02.2002	30.822
08.02.2002	30.895
11.02.2002	30.919
12.02.2002	30.937
13.02.2002	30.937
14.02.2002	30.937
12.03.2002	31.155
18.03.2002	31.224
19.03.2002	31.239
20.03.2002	31.242
21.03.2002	31.247
22.03.2002	31.247
02.04.2002	31.266
08.04.2002	31.285
09.04.2002	31.27
19.04.2002	31.254
22.04.2002	31.248
23.04.2002	31.248
30.04.2002	31.265
13.05.2002	31.3145
14.05.2002	31.325
15.05.2002	31.325
16.05.2002	31.34
20.05.2002	31.325
21.05.2002	31.32
23.05.2002	31.335
24.05.2002	31.335
27.05.2002	31.355
31.05.2002	31.38
03.06.2002	31.365
04.06.2002	31.37
05.06.2002	31.445
06.06.2002	31.465
07.06.2002	31.445
10.06.2002	31.475
11.06.2002	31.465
13.06.2002	31.46
17.06.2002	31.465
18.06.2002	31.475
01.07.2002	31.565
29.07.2002	31.525
14.08.2002	31.595
16.08.2002	31.61
22.08.2002	31.615
20.09.2002	31.695
14.10.2002	31.725
30.10.2002	31.83
31.10.2002	31.83
04.11.2002	31.852
05.11.2002	31.825
11.11.2002	31.86
12.11.2002	31.835
14.11.2002	31.865
18.11.2002	31.8825
20.11.2002	31.885
21.11.2002	31.86
26.11.2002	31.8813
27.11.2002	31.89
28.11.2002	31.905
02.12.2002	31.89
03.12.2002	31.895
04.12.2002	31.91
06.12.2002	31.9
09.12.2002	31.89
10.12.2002	31.89
11.12.2002	31.9
16.12.2002	31.89
18.12.2002	31.895
19.12.2002	31.89
20.12.2002	31.855
23.12.2002	31.82
26.12.2002	31.915
30.12.2002	31.915
08.01.2003	31.8965
09.01.2003	31.8985
17.01.2003	31.8465
20.01.2003	31.8475
21.01.2003	31.8545
24.01.2003	31.83
27.01.2003	31.8325
28.01.2003	31.83
31.01.2003	31.884
03.02.2003	31.8635
04.02.2003	31.8668
12.02.2003	31.652
13.02.2003	31.6635
14.02.2003	31.651
17.02.2003	31.5963
18.02.2003	31.5735
19.02.2003	31.5915
20.02.2003	31.5225
21.02.2003	31.5625
13.03.2003	31.3948
17.03.2003	31.405
18.03.2003	31.4313
19.03.2003	31.4063
03.04.2003	31.295
11.04.2003	31.295
16.04.2003	31.205
24.04.2003	31.115
25.04.2003	31.115
28.04.2003	31.105
16.05.2003	30.9
25.07.2003	30.3046
30.07.2003	30.2825
06.08.2003	30.3117
07.08.2003	30.3602
08.08.2003	30.4281
21.08.2003	30.3356
22.08.2003	30.2971
03.09.2003	30.6093
18.09.2003	30.6
19.09.2003	30.5538
22.09.2003	30.524
23.09.2003	30.5025
24.09.2003	30.4475
25.09.2003	30.51
26.09.2003	30.5641
29.09.2003	30.645
08.10.2003	30.3358
09.10.2003	30.145
13.10.2003	30.175
14.10.2003	30.15
31.10.2003	30
12.11.2003	29.8557
13.11.2003	29.8476
14.11.2003	29.8253
17.11.2003	29.812
18.11.2003	29.8022
20.11.2003	29.8202
26.11.2003	29.7558
28.11.2003	29.7555
01.12.2003	29.7205
02.12.2003	29.7182
03.12.2003	29.7115
04.12.2003	29.71
08.12.2003	29.5659
09.12.2003	29.55
16.12.2003	29.246
17.12.2003	29.2595
13.01.2004	28.8435
19.01.2004	28.7705
20.01.2004	28.72
21.01.2004	28.7595
22.01.2004	28.6021
23.01.2004	28.4915
26.01.2004	28.5
27.01.2004	28.454
28.01.2004	28.465
29.01.2004	28.4625
30.01.2004	28.495
02.02.2004	28.5865
03.02.2004	28.5611
04.02.2004	28.484
06.02.2004	28.52
23.03.2004	28.484
25.03.2004	28.498
01.04.2004	28.517
06.04.2004	28.5335
08.04.2004	28.5125
29.04.2004	29
13.05.2004	29.1175
19.05.2004	29.0226
20.05.2004	29.036
24.05.2004	29.0295
25.05.2004	29.013
27.05.2004	29.0375
01.06.2004	29.0715
08.07.2004	29.135
09.07.2004	29.15
19.07.2004	29.096
29.07.2004	29.1065
09.08.2004	29.2567
10.08.2004	29.266
19.08.2004	29.237
20.08.2004	29.2325
23.08.2004	29.2265
24.08.2004	29.239
