Date	iv3m
08.03.2005	6.3
09.03.2005	6.3
10.03.2005	6.3
11.03.2005	6.175
14.03.2005	6.175
15.03.2005	6.175
17.03.2005	6.3
18.03.2005	6.3
21.03.2005	6.175
22.03.2005	6.175
23.03.2005	6.05
24.03.2005	6.05
25.03.2005	6.05
28.03.2005	6.05
29.03.2005	6.35
30.03.2005	6.05
31.03.2005	6.05
01.04.2005	6.35
04.04.2005	6.05
05.04.2005	6.35
06.04.2005	6.05
07.04.2005	6.05
08.04.2005	6.3
11.04.2005	6.05
12.04.2005	6.25
13.04.2005	6.05
14.04.2005	6.05
15.04.2005	6.2
18.04.2005	6.05
19.04.2005	6.05
20.04.2005	6.05
21.04.2005	6.2
22.04.2005	6.05
25.04.2005	6.1
26.04.2005	6.05
27.04.2005	6.05
28.04.2005	6.05
29.04.2005	6.05
03.05.2005	6.05
04.05.2005	6.15
05.05.2005	6.15
06.05.2005	6.15
11.05.2005	6.05
12.05.2005	6.15
13.05.2005	6.05
16.05.2005	6.15
17.05.2005	6.15
18.05.2005	6.15
19.05.2005	6.15
20.05.2005	6.05
23.05.2005	6.05
24.05.2005	6.05
25.05.2005	6.15
26.05.2005	6.15
27.05.2005	6.1
30.05.2005	6.05
31.05.2005	6.05
01.06.2005	6.05
02.06.2005	6.15
03.06.2005	6.15
06.06.2005	6.1
07.06.2005	6.15
08.06.2005	6.15
09.06.2005	6.15
10.06.2005	6.05
14.06.2005	6.05
15.06.2005	6.05
16.06.2005	5.8
17.06.2005	5.6
20.06.2005	5.6
21.06.2005	5.1
22.06.2005	5.5
23.06.2005	5.6
24.06.2005	5.25
27.06.2005	5.25
28.06.2005	5.25
29.06.2005	5.425
30.06.2005	5.375
01.07.2005	5.55
04.07.2005	5.55
05.07.2005	5.55
06.07.2005	5.6
07.07.2005	5.55
08.07.2005	5.6
11.07.2005	5.375
12.07.2005	5.6
13.07.2005	5.6
14.07.2005	5.6
15.07.2005	5.6
18.07.2005	5.6
19.07.2005	5.6
