"Index";"swap1W";"swap2W";"swap1M";"swap2M";"swap3M";"swap6M";"swap9M";"swap1Y";"iv1m";"iv1w";"iv1y";"iv2m";"iv3m";"iv6m";"iv9m";"spot"
2009-12-03;0.0524;0.0557;0.0727;0.0634;0.0643;0.0669;0.0682;0.0697;0.13235;0.139475;0.1627;0.1394;0.1468;0.153125;0.155775;29.1402
2009-12-04;0.0514;0.0564;0.0661;0.0613;0.0635;0.0657;0.0673;0.0689;0.1353;0.140075;0.16245;0.141775;0.14635;0.15285;0.1556;29.285
2009-12-07;0.0541;0.0563;0.0636;0.0591;0.0619;0.0648;0.0671;0.069;0.14225;0.157475;0.163875;0.14985;0.1493;0.1543;0.156625;29.7425
2009-12-08;0.0582;0.0593;0.0673;0.0629;0.065;0.0689;0.0713;0.073;0.159;0.186225;0.1704;0.1594;0.161625;0.163025;0.167225;30.3099
2009-12-09;0.0599;0.0614;0.0655;0.0643;0.0653;0.0679;0.0695;0.0711;0.15905;0.186225;0.172;0.1595;0.1617;0.16705;0.1672;30.3999
2009-12-10;0.0546;0.0622;0.0603;0.0611;0.0623;0.0665;0.0683;0.0701;0.15855;0.167125;0.17175;0.1604;0.1633;0.16485;0.168175;30.45
2009-12-11;0.055;0.0571;0.0576;0.06;0.0605;0.064;0.0666;0.0687;0.1569;0.1685;0.1718;0.1596;0.1629;0.16485;0.168825;30.0001
2009-12-14;0.0532;0.0567;0.0581;0.0614;0.0611;0.0642;0.0654;0.0678;0.15605;0.167725;0.1718;0.1587;0.16255;0.1641;0.168825;30.1
2009-12-15;0.0638;0.0633;0.0683;0.0645;0.0634;0.0652;0.0663;0.0687;0.15505;0.167775;0.17145;0.15775;0.16155;0.1631;0.16885;30.19
2009-12-16;0.0649;0.0654;0.0686;0.0646;0.0639;0.0662;0.0681;0.069;0.15525;0.166975;0.17145;0.1579;0.1616;0.1631;0.168875;30.27
2009-12-17;0.0649;0.0654;0.0686;0.0646;0.0639;0.0662;0.0681;0.069;0.15575;0.158825;0.17145;0.15845;0.16185;0.16315;0.168925;30.81
2009-12-18;0.0625;0.0792;0.0693;0.0683;0.0653;0.0667;0.0678;0.0683;0.1562;0.159025;0.17265;0.16025;0.163;0.16575;0.1689;30.62
2009-12-21;0.0624;0.0549;0.0661;0.0661;0.0645;0.0645;0.0652;0.0661;0.15605;0.1581;0.17185;0.1599;0.1625;0.1647;0.168875;30.5
2009-12-22;0.0576;0.0547;0.0611;0.0623;0.0629;0.0643;0.065;0.0661;0.15555;0.158875;0.1716;0.159325;0.1619;0.16405;0.168875;30.55
2009-12-23;0.0559;0.0574;0.0616;0.0623;0.0616;0.0625;0.0642;0.0655;0.14725;0.144575;0.17025;0.159375;0.16195;0.164;0.168;30.37
2009-12-24;0.0412;0.048;0.0591;0.0594;0.0622;0.0616;0.0626;0.0637;0.1472;0.144675;0.1703;0.15945;0.16205;0.164;0.168;29.68
2009-12-25;0.0531;0.0573;0.06;0.0598;0.0589;0.061;0.0632;0.0648;0.1473;0.144775;0.17025;0.159525;0.1621;0.16395;0.167975;29.68
2009-12-28;0.0587;0.0611;0.061;0.0636;0.0615;0.0624;0.0644;0.066;0.1469;0.144225;0.1701;0.159575;0.1622;0.163825;0.16795;29.6675
2009-12-29;0.0562;0.061;0.0642;0.0629;0.0606;0.0615;0.0634;0.0653;0.14735;0.14495;0.1703;0.159525;0.16205;0.16395;0.167975;29.9301
2009-12-31;0.0617;0.0555;0.0584;0.0594;0.0594;0.0612;0.0628;0.064;0.145175;0.1426;0.17;0.159925;0.1624;0.16365;0.1679;29.9301
2010-02-11;0.055;0.0571;0.0576;0.06;0.0605;0.064;0.0666;0.0687;0.128925;0.116875;0.158775;0.134425;0.14015;0.150075;0.161975;30.126
2010-02-14;0.0532;0.0567;0.0581;0.0614;0.0611;0.0642;0.0654;0.0678;0.128925;0.116875;0.158775;0.134425;0.14015;0.150075;0.161975;30.126
2010-02-19;0.04408492307;0.04490421062;0.04751573976;0.04809566801;0.04914715676;0.05233881189;0.05608037421;0.05998823261;0.110675;0.102025;0.148025;0.116225;0.122275;0.135175;0.147725;30.0975
2010-02-24;0.0446;0.0454;0.0467;0.0475;0.0476;0.0515;0.0559;0.0597;0.106925;0.0965;0.14535;0.11505;0.1216;0.135325;0.146775;30.0102
2010-02-25;0.04363216779;0.04398815719;0.03899524368;0.04332204618;0.04375105112;0.04874611876;0.05404551036;0.05873949749;0.102;0.091375;0.14525;0.11175;0.11975;0.134925;0.146725;30.04
2010-02-26;0.04436224518;0.04572268939;0.045063265;0.04633358616;0.04715128455;0.05053205641;0.05553481627;0.05967326073;0.11455;0.090225;0.14455;0.109875;0.1176;0.132975;0.1463;29.99
2010-02-27;0.04121020633;0.04338281454;0.04445466254;0.04517372878;0.04616083142;0.04956346207;0.05445264675;0.05890584538;0.11455;0.090225;0.14455;0.109875;0.1176;0.132975;0.1463;29.99
2010-03-01;0.04366772716;0.04424302113;0.04397563358;0.04536984968;0.04540887715;0.04932795761;0.0538161305;0.05789511358;0.099925;0.090275;0.144425;0.109575;0.117525;0.1328;0.146025;29.9225
2010-03-02;0.04255841275;0.04316350459;0.04229424205;0.04473401754;0.04487129825;0.04875721701;0.0531943182;0.05745486503;0.09915;0.085975;0.14405;0.108925;0.1169;0.132225;0.145325;29.934
2010-03-03;0.03963238325;0.04083434849;0.04013646648;0.04244938686;0.04249125576;0.04638972307;0.05051737904;0.05451320775;0.100825;0.082425;0.1378;0.11465;0.12275;0.13165;0.144525;29.865
