Date	spot
12.05.2003	31.0098
13.05.2003	30.9819
14.05.2003	30.9822
15.05.2003	30.9775
16.05.2003	30.8921
19.05.2003	30.891
20.05.2003	30.8915
21.05.2003	30.8965
22.05.2003	30.8135
23.05.2003	30.7275
27.05.2003	30.728
28.05.2003	30.637
29.05.2003	30.69
30.05.2003	30.7175
02.06.2003	30.66
03.06.2003	30.7525
04.06.2003	30.7735
05.06.2003	30.6315
06.06.2003	30.565
09.06.2003	30.5075
10.06.2003	30.5574
11.06.2003	30.53
16.06.2003	30.466
17.06.2003	30.3805
18.06.2003	30.38
19.06.2003	30.3925
20.06.2003	30.35
23.06.2003	30.3615
24.06.2003	30.358
25.06.2003	30.3424
26.06.2003	30.339
27.06.2003	30.35
30.06.2003	30.38
01.07.2003	30.328
02.07.2003	30.2835
03.07.2003	30.306
07.07.2003	30.312
08.07.2003	30.3375
09.07.2003	30.43
10.07.2003	30.375
11.07.2003	30.3775
14.07.2003	30.4899
15.07.2003	30.532
16.07.2003	30.5075
17.07.2003	30.487
18.07.2003	30.44
21.07.2003	30.375
22.07.2003	30.3275
23.07.2003	30.3475
24.07.2003	30.3535
25.07.2003	30.31
28.07.2003	30.24
29.07.2003	30.235
30.07.2003	30.2465
31.07.2003	30.285
01.08.2003	30.33
04.08.2003	30.3349
05.08.2003	30.28
06.08.2003	30.33
07.08.2003	30.332
08.08.2003	30.41
11.08.2003	30.374
12.08.2003	30.3556
13.08.2003	30.385
14.08.2003	30.325
15.08.2003	30.354
18.08.2003	30.315
19.08.2003	30.339
20.08.2003	30.326
21.08.2003	30.315
22.08.2003	30.3075
25.08.2003	30.3065
26.08.2003	30.36
27.08.2003	30.4
28.08.2003	30.515
29.08.2003	30.495
02.09.2003	30.569
03.09.2003	30.605
04.09.2003	30.69
05.09.2003	30.67
08.09.2003	30.688
09.09.2003	30.6325
10.09.2003	30.6299
11.09.2003	30.645
12.09.2003	30.6375
15.09.2003	30.697
16.09.2003	30.7
17.09.2003	30.6775
18.09.2003	30.57
19.09.2003	30.5499
22.09.2003	30.485
23.09.2003	30.5
24.09.2003	30.44
25.09.2003	30.5
26.09.2003	30.4549
29.09.2003	30.5999
30.09.2003	30.603
01.10.2003	30.5595
02.10.2003	30.4525
03.10.2003	30.42
06.10.2003	30.455
07.10.2003	30.3957
08.10.2003	30.382
09.10.2003	30.2315
10.10.2003	30.1219
14.10.2003	30.242
15.10.2003	30.135
16.10.2003	30.125
17.10.2003	30.071
20.10.2003	30.013
21.10.2003	29.93
22.10.2003	29.9175
23.10.2003	29.9158
24.10.2003	29.9175
27.10.2003	30.0824
28.10.2003	29.921
29.10.2003	29.7927
30.10.2003	29.8455
31.10.2003	29.92
03.11.2003	29.9315
04.11.2003	29.8575
05.11.2003	29.8125
06.11.2003	29.8128
10.11.2003	29.815
12.11.2003	29.8225
13.11.2003	29.8675
14.11.2003	29.815
17.11.2003	29.8175
18.11.2003	29.8
19.11.2003	29.7952
20.11.2003	29.8134
21.11.2003	29.7998
24.11.2003	29.733
25.11.2003	29.7358
26.11.2003	29.7384
28.11.2003	29.737
01.12.2003	29.71
02.12.2003	29.705
03.12.2003	29.697
04.12.2003	29.6999
05.12.2003	29.638
08.12.2003	29.55
09.12.2003	29.554
10.12.2003	29.54
11.12.2003	29.44
15.12.2003	29.3875
16.12.2003	29.29
17.12.2003	29.256
18.12.2003	29.2465
19.12.2003	29.251
22.12.2003	29.2653
23.12.2003	29.25
24.12.2003	29.2375
26.12.2003	29.28
29.12.2003	29.48
30.12.2003	29.2675
06.01.2004	29.2485
08.01.2004	29.135
09.01.2004	29.0001
12.01.2004	28.877
13.01.2004	28.895
14.01.2004	28.87
15.01.2004	28.89
16.01.2004	28.805
20.01.2004	28.7866
21.01.2004	28.816
22.01.2004	28.691
23.01.2004	28.55
26.01.2004	28.5149
27.01.2004	28.52
28.01.2004	28.4827
29.01.2004	28.5
30.01.2004	28.5175
02.02.2004	28.5299
03.02.2004	28.58
04.02.2004	28.534
05.02.2004	28.495
06.02.2004	28.582
09.02.2004	28.505
10.02.2004	28.5101
11.02.2004	28.567
12.02.2004	28.53
13.02.2004	28.4625
17.02.2004	28.491
18.02.2004	28.489
19.02.2004	28.495
20.02.2004	28.5094
24.02.2004	28.505
25.02.2004	28.4975
26.02.2004	28.5175
27.02.2004	28.516
01.03.2004	28.528
02.03.2004	28.538
03.03.2004	28.6
04.03.2004	28.645
05.03.2004	28.64
09.03.2004	28.5275
10.03.2004	28.58
11.03.2004	28.5776
12.03.2004	28.522
15.03.2004	28.505
16.03.2004	28.5199
17.03.2004	28.5375
18.03.2004	28.52
19.03.2004	28.5025
22.03.2004	28.5075
23.03.2004	28.485
24.03.2004	28.4861
25.03.2004	28.4975
26.03.2004	28.4888
29.03.2004	28.495
30.03.2004	28.483
31.03.2004	28.5149
