Date;Swap1Y
12.01.1996;7360
15.01.1996;6710
16.01.1996;6760
17.01.1996;6730
18.01.1996;6850
19.01.1996;6750
22.01.1996;6760
23.01.1996;6510
24.01.1996;6420
25.01.1996;6330
26.01.1996;6250
29.01.1996;6280
30.01.1996;6330
31.01.1996;6110
01.02.1996;5.35
02.02.1996;5.35
05.02.1996;5.35
06.02.1996;5.4
07.02.1996;5.45
08.02.1996;5.44
09.02.1996;5.5
12.02.1996;7680
13.02.1996;7580
14.02.1996;7570
15.02.1996;7500
16.02.1996;7470
19.02.1996;7490
20.02.1996;7370
21.02.1996;7320
22.02.1996;7270
23.02.1996;7140
26.02.1996;7070
27.02.1996;6860
28.02.1996;7000
29.02.1996;6870
01.03.1996;5.52
04.03.1996;5.52
05.03.1996;5.52
06.03.1996;5.52
07.03.1996;5.52
08.03.1996;5.52
11.03.1996;6960
12.03.1996;6800
13.03.1996;6790
14.03.1996;6960
15.03.1996;6940
18.03.1996;6880
19.03.1996;6680
20.03.1996;6740
21.03.1996;6690
22.03.1996;6690
25.03.1996;6780
26.03.1996;6700
27.03.1996;6700
28.03.1996;6740
29.03.1996;6570
01.04.1996;5.52
02.04.1996;5.52
03.04.1996;5.52
04.04.1996;5.52
05.04.1996;5.52
08.04.1996;5.52
09.04.1996;6160
10.04.1996;6240
11.04.1996;6110
12.04.1996;6060
15.04.1996;6040
16.04.1996;5970
17.04.1996;5950
18.04.1996;5940
19.04.1996;5880
22.04.1996;10660
23.04.1996;10810
24.04.1996;10790
25.04.1996;10760
26.04.1996;10520
29.04.1996;10480
30.04.1996;10660
01.05.1996;6.03
02.05.1996;6.03
03.05.1996;6.03
06.05.1996;6.03
07.05.1996;6.05
08.05.1996;6.05
09.05.1996;5450
10.05.1996;10750
13.05.1996;10780
14.05.1996;10800
15.05.1996;10850
16.05.1996;11660
17.05.1996;11500
20.05.1996;11490
21.05.1996;11450
22.05.1996;11430
23.05.1996;11410
24.05.1996;12830
27.05.1996;12820
28.05.1996;12760
29.05.1996;12720
30.05.1996;12690
31.05.1996;12640
03.06.1996;6.3
04.06.1996;6.3
05.06.1996;6.3
06.06.1996;6.3
07.06.1996;6.3
10.06.1996;12440
11.06.1996;12330
12.06.1996;12320
13.06.1996;12580
14.06.1996;12290
17.06.1996;12360
18.06.1996;12610
19.06.1996;12440
20.06.1996;12320
21.06.1996;12300
24.06.1996;12280
25.06.1996;12120
26.06.1996;12050
27.06.1996;11970
28.06.1996;11840
01.07.1996;6.3
02.07.1996;6.3
03.07.1996;6.3
04.07.1996;6.3
05.07.1996;6.3
08.07.1996;6.3
09.07.1996;9270
10.07.1996;11830
11.07.1996;11770
12.07.1996;11690
15.07.1996;11750
16.07.1996;11660
17.07.1996;11510
18.07.1996;11420
19.07.1996;11340
22.07.1996;11360
23.07.1996;11350
24.07.1996;11200
25.07.1996;11260
26.07.1996;11160
29.07.1996;11160
30.07.1996;10950
31.07.1996;10910
01.08.1996;6.3
02.08.1996;6.3
05.08.1996;6.3
06.08.1996;6.3
07.08.1996;6.3
08.08.1996;6.3
09.08.1996;10210
12.08.1996;10040
13.08.1996;10110
14.08.1996;10090
15.08.1996;10040
16.08.1996;9970
19.08.1996;9970
20.08.1996;10000
21.08.1996;9830
22.08.1996;9690
23.08.1996;9630
26.08.1996;9620
27.08.1996;9460
28.08.1996;9350
29.08.1996;9400
30.08.1996;9370
02.09.1996;6.3
03.09.1996;6.3
04.09.1996;6.3
05.09.1996;6.3
06.09.1996;6.3
09.09.1996;6.3
10.09.1996;9260
11.09.1996;9240
12.09.1996;9210
13.09.1996;9150
16.09.1996;9160
17.09.1996;9100
18.09.1996;9040
19.09.1996;8990
20.09.1996;9010
23.09.1996;9050
24.09.1996;9010
25.09.1996;9040
26.09.1996;8930
27.09.1996;9030
30.09.1996;8960
01.10.1996;6.3
02.10.1996;6.3
03.10.1996;6.3
04.10.1996;6.3
07.10.1996;6.3
08.10.1996;6.3
09.10.1996;8760
10.10.1996;8690
11.10.1996;8650
14.10.1996;8650
15.10.1996;8590
16.10.1996;8620
17.10.1996;8610
18.10.1996;8630
21.10.1996;8630
22.10.1996;8620
23.10.1996;8560
24.10.1996;8530
25.10.1996;8450
28.10.1996;8480
29.10.1996;8470
30.10.1996;8430
31.10.1996;8450
