Date;Swap3M
12.01.1996;2100
15.01.1996;2210
16.01.1996;2260
17.01.1996;2330
18.01.1996;2320
19.01.1996;2220
22.01.1996;1970
23.01.1996;2070
24.01.1996;2160
25.01.1996;2030
26.01.1996;2150
29.01.1996;2280
30.01.1996;2380
31.01.1996;2260
01.02.1996;2270
02.02.1996;2310
05.02.1996;2330
06.02.1996;2280
07.02.1996;2350
08.02.1996;2170
09.02.1996;2130
12.02.1996;2210
13.02.1996;2130
14.02.1996;2070
15.02.1996;2050
16.02.1996;2070
19.02.1996;2190
20.02.1996;2070
21.02.1996;2070
22.02.1996;2010
23.02.1996;1840
26.02.1996;1820
27.02.1996;1610
28.02.1996;2000
29.02.1996;1870
01.03.1996;1920
04.03.1996;2180
05.03.1996;2140
06.03.1996;2160
07.03.1996;2160
08.03.1996;2150
11.03.1996;2260
12.03.1996;2140
13.03.1996;2190
14.03.1996;2410
15.03.1996;2390
18.03.1996;2330
19.03.1996;2260
20.03.1996;2440
21.03.1996;2340
22.03.1996;2340
25.03.1996;2330
26.03.1996;2350
27.03.1996;2450
28.03.1996;2440
29.03.1996;2290
01.04.1996;2240
02.04.1996;2230
03.04.1996;2170
04.04.1996;2080
05.04.1996;1960
08.04.1996;1980
09.04.1996;1910
10.04.1996;2040
11.04.1996;1900
12.04.1996;1850
15.04.1996;1960
16.04.1996;1950
17.04.1996;1950
18.04.1996;1990
19.04.1996;1960
22.04.1996;1990
23.04.1996;2040
24.04.1996;2020
25.04.1996;2060
26.04.1996;2050
29.04.1996;2030
30.04.1996;2030
01.05.1996;2030
02.05.1996;2040
03.05.1996;2040
06.05.1996;2190
07.05.1996;2280
08.05.1996;2240
09.05.1996;2250
10.05.1996;2250
13.05.1996;2380
14.05.1996;2450
15.05.1996;2500
16.05.1996;2360
17.05.1996;2500
20.05.1996;2490
21.05.1996;2450
22.05.1996;2730
23.05.1996;2710
24.05.1996;3030
27.05.1996;3420
28.05.1996;3360
29.05.1996;3270
30.05.1996;3290
31.05.1996;3260
03.06.1996;2670
04.06.1996;3410
05.06.1996;3430
06.06.1996;3390
07.06.1996;3300
10.06.1996;3840
11.06.1996;3680
13.06.1996;4280
14.06.1996;3790
17.06.1996;3810
18.06.1996;4060
19.06.1996;3840
20.06.1996;3620
21.06.1996;3650
24.06.1996;3630
25.06.1996;3620
26.06.1996;3550
27.06.1996;3550
28.06.1996;2240
01.07.1996;3470
02.07.1996;3530
03.07.1996;3530
04.07.1996;3690
05.07.1996;3630
08.07.1996;3770
09.07.1996;3770
10.07.1996;3630
11.07.1996;3570
12.07.1996;3590
15.07.1996;3600
16.07.1996;3360
17.07.1996;3410
18.07.1996;3520
19.07.1996;3360
22.07.1996;3410
23.07.1996;3450
24.07.1996;3300
25.07.1996;3530
26.07.1996;3430
29.07.1996;3610
30.07.1996;3450
31.07.1996;3360
01.08.1996;3200
02.08.1996;3270
05.08.1996;3250
06.08.1996;3250
07.08.1996;3140
08.08.1996;2990
09.08.1996;3410
12.08.1996;3240
13.08.1996;3310
14.08.1996;3290
15.08.1996;3440
16.08.1996;3370
19.08.1996;3370
20.08.1996;3900
21.08.1996;3730
22.08.1996;3790
23.08.1996;3930
26.08.1996;3920
27.08.1996;3560
28.08.1996;3450
29.08.1996;3500
30.08.1996;3470
02.09.1996;3460
03.09.1996;4340
04.09.1996;4300
05.09.1996;4320
06.09.1996;4250
09.09.1996;4220
10.09.1996;4260
11.09.1996;4240
12.09.1996;4210
13.09.1996;4150
16.09.1996;3410
17.09.1996;3350
18.09.1996;3290
19.09.1996;3240
20.09.1996;3260
23.09.1996;3300
24.09.1996;3510
25.09.1996;3540
26.09.1996;3430
27.09.1996;3530
30.09.1996;3460
01.10.1996;3360
02.10.1996;3690
03.10.1996;3500
04.10.1996;3500
07.10.1996;3510
08.10.1996;3480
09.10.1996;3460
10.10.1996;3190
11.10.1996;3150
14.10.1996;3150
15.10.1996;2390
16.10.1996;2550
17.10.1996;2540
18.10.1996;2560
21.10.1996;2560
22.10.1996;2550
23.10.1996;2490
24.10.1996;2460
25.10.1996;2380
28.10.1996;2410
29.10.1996;2440
30.10.1996;2380
31.10.1996;2400
01.11.1996;2340
04.11.1996;2310
05.11.1996;2340
06.11.1996;2110
07.11.1996;2110
08.11.1996;2120
11.11.1996;2130
12.11.1996;1880
13.11.1996;1810
14.11.1996;1780
15.11.1996;1720
18.11.1996;1760
19.11.1996;1720
20.11.1996;1570
21.11.1996;1420
22.11.1996;1390
25.11.1996;1540
26.11.1996;1400
27.11.1996;1470
28.11.1996;1440
29.11.1996;1500
02.12.1996;1520
03.12.1996;1470
04.12.1996;1540
05.12.1996;1370
06.12.1996;1350
09.12.1996;1340
10.12.1996;1340
11.12.1996;1260
12.12.1996;1250
13.12.1996;1270
16.12.1996;1290
17.12.1996;1350
18.12.1996;1330
19.12.1996;1280
20.12.1996;1320
23.12.1996;1350
24.12.1996;1280
25.12.1996;1270
26.12.1996;1240
27.12.1996;1180
30.12.1996;1130
31.12.1996;970
02.01.1997;950
03.01.1997;950
06.01.1997;1070
07.01.1997;1070
08.01.1997;1220
09.01.1997;-450
10.01.1997;1170
13.01.1997;1210
14.01.1997;1230
15.01.1997;1160
16.01.1997;1330
