Date	1W	2W	1M	2M	3M	6M	9M	1Y
03.12.2009	5.24	5.57	7.27	6.34	6.43	6.69	6.82	6.97
04.12.2009	5.14	5.64	6.61	6.13	6.35	6.57	6.73	6.89
07.12.2009	5.41	5.63	6.36	5.91	6.19	6.48	6.71	6.90
08.12.2009	5.82	5.93	6.73	6.29	6.50	6.89	7.13	7.30
09.12.2009	5.99	6.14	6.55	6.43	6.53	6.79	6.95	7.11
10.12.2009	5.46	6.22	6.03	6.11	6.23	6.65	6.83	7.01
11.12.2009	5.50	5.71	5.76	6.00	6.05	6.40	6.66	6.87
14.12.2009	5.32	5.67	5.81	6.14	6.11	6.42	6.54	6.78
15.12.2009	6.38	6.33	6.83	6.45	6.34	6.52	6.63	6.87
16.12.2009	6.49	6.54	6.86	6.46	6.39	6.62	6.81	6.90
17.12.2009	6.49	6.54	6.86	6.46	6.39	6.62	6.81	6.90
18.12.2009	6.25	7.92	6.93	6.83	6.53	6.67	6.78	6.83
21.12.2009	6.24	5.49	6.61	6.61	6.45	6.45	6.52	6.61
22.12.2009	5.76	5.47	6.11	6.23	6.29	6.43	6.50	6.61
23.12.2009	5.59	5.74	6.16	6.23	6.16	6.25	6.42	6.55
24.12.2009	4.12	4.80	5.91	5.94	6.22	6.16	6.26	6.37
25.12.2009	5.31	5.73	6.00	5.98	5.89	6.10	6.32	6.48
28.12.2009	5.87	6.11	6.10	6.36	6.15	6.24	6.44	6.60
29.12.2009	5.62	6.10	6.42	6.29	6.06	6.15	6.34	6.53
31.12.2009	6.17	5.55	5.84	5.94	5.94	6.12	6.28	6.40
11.02.2010	5.50	5.71	5.76	6.00	6.05	6.40	6.66	6.87
14.02.2010	5.32	5.67	5.81	6.14	6.11	6.42	6.54	6.78
19.02.2010	4.408492307	4.490421062	4.751573976	4.809566801	4.914715676	5.233881189	5.608037421	5.998823261
24.02.2010	4.46	4.54	4.67	4.75	4.76	5.15	5.59	5.97
25.02.2010	4.363216779	4.398815719	3.899524368	4.332204618	4.375105112	4.874611876	5.404551036	5.873949749
26.02.2010	4.436224518	4.572268939	4.5063265	4.633358616	4.715128455	5.053205641	5.553481627	5.967326073
27.02.2010	4.121020633	4.338281454	4.445466254	4.517372878	4.616083142	4.956346207	5.445264675	5.890584538
01.03.2010	4.366772716	4.424302113	4.397563358	4.536984968	4.540887715	4.932795761	5.38161305	5.789511358
02.03.2010	4.255841275	4.316350459	4.229424205	4.473401754	4.487129825	4.875721701	5.31943182	5.745486503
03.03.2010	3.963238325	4.083434849	4.013646648	4.244938686	4.249125576	4.638972307	5.051737904	5.451320775
04.03.2010	3.90953645	4.134435511	4.02000952	4.221933729	4.301425133	4.720239791	5.120896823	5.581938994
05.03.2010	4.101561889	4.623489117	4.059827055	4.157310897	4.274669997	4.708687852	5.173676023	5.604202747
09.03.2010	3.99093292	4.05945031	3.945485277	4.077441792	4.125810349	4.509238316	4.957490244	5.442507617
10.03.2010	3.859964279	3.989764136	3.883952938	3.983526221	4.025209509	4.366803989	4.810273566	5.260126767
11.03.2010	3.374330539	3.4815367	3.543881544	3.5695668	3.55954263	3.93772783	4.365433162	4.828488795
12.03.2010	3.245338032	3.476359048	3.475733861	3.540583449	3.671716021	4.062637823	4.462770707	4.940924665
15.03.2010	3.417991603	3.536238684	3.544156698	3.643317608	3.717935961	4.10439615	4.51801272	4.976177927
16.03.2010	3.662633439	3.705749242	3.79965388	3.878228048	3.929910827	4.391728869	4.800594197	5.23462886
17.03.2010	3.639578811	3.684885113	3.642782602	3.706789506	3.761345621	4.092457763	4.522756305	4.921895503
18.03.2010	3.624515416	3.717896303	3.657963203	3.730587765	3.802368215	4.120691017	4.528104377	4.889591068
