Date;RUB1MO;RUB3MO;RUB1YO
04.09.2015;28.4;26.25;24.625
03.09.2015;28;26;24.5
02.09.2015;28.125;26;24.5
01.09.2015;28;26;24.5
31.08.2015;28;26;24.5
28.08.2015;27.125;25;23.9
27.08.2015;28;26;24.5
26.08.2015;27.325;26;24.5
25.08.2015;28;26;24.7
24.08.2015;27.95;26.225;24.8
21.08.2015;25.15;24.4;23.05
20.08.2015;24.725;23.975;22.925
19.08.2015;24;22.9;22.25
18.08.2015;24.8;23.1;21.8
17.08.2015;23.5;22.75;21.7
14.08.2015;23.5;22.25;21
13.08.2015;23.5;22.75;21.875
12.08.2015;23.5;22.625;21.25
11.08.2015;23.4;22.2;21
10.08.2015;22.5;22;21
07.08.2015;22.05;21.7;19.45
06.08.2015;19.475;22;20.6
05.08.2015;22.55;21.95;19.2
04.08.2015;22.8;21.85;20.4
03.08.2015;18.275;21.3;20.3
31.07.2015;19.9;20.15;20
30.07.2015;18.4;18.65;18.25
29.07.2015;19;19.15;19
28.07.2015;20.9;19.9;19.9
27.07.2015;18.25;17.725;18.9
24.07.2015;17.75;17.65;18.25
23.07.2015;15.25;16.65;17.9
22.07.2015;14.75;16.75;17.9
21.07.2015;15.5;16.9;17.75
20.07.2015;16.5;17.25;18.25
17.07.2015;16.9;18.075;19.075
16.07.2015;18;19;20
15.07.2015;18;19;19.75
14.07.2015;21;20.75;20
13.07.2015;21.1;20.95;20.5
10.07.2015;20.65;20.95;21.15
09.07.2015;21.25;20.75;20.75
08.07.2015;21.15;21.125;21
07.07.2015;21.25;21.25;21.1
06.07.2015;20.55;20.55;20.475
03.07.2015;20.25;20.8;20.9
02.07.2015;21;21;21
01.07.2015;22;21.5;21.5
30.06.2015;22;21.5;21.5
29.06.2015;21.5;21;20.25
26.06.2015;20.2;20.9;21
25.06.2015;20;20;21
24.06.2015;19.5;20;20
23.06.2015;21.1;21.1;20.95
22.06.2015;20;20.15;20.5
19.06.2015;20.5;21.05;20.95
18.06.2015;20;20;20
17.06.2015;20.5;20.5;20.5
16.06.2015;22.425;21.25;21.45
15.06.2015;23.5;22.5;21.5
12.06.2015;24;22.5;21.5
11.06.2015;26.5;25;22.25
10.06.2015;26.5;22.15;22.5
09.06.2015;26.5;25;22.5
08.06.2015;26.45;24.35;21.85
05.06.2015;27;26;22.4
04.06.2015;24.9;22.25;20.5
03.06.2015;22.75;21.5;20
02.06.2015;22.75;21.75;20.75
01.06.2015;22.75;22;20.75
29.05.2015;23;21.25;20
28.05.2015;25;23;20.5
27.05.2015;22;21;19.5
26.05.2015;21;19.75;20
25.05.2015;20.75;20.25;19
22.05.2015;22.75;22;20
21.05.2015;23;22.25;20
20.05.2015;23;22.3;20
19.05.2015;24.35;23;20.5
18.05.2015;24;22.85;20.5
15.05.2015;26.5;23.5;20.5
14.05.2015;27.5;25.7;23.1
13.05.2015;27;24.5;21.75
12.05.2015;29.5;26.5;23.9
11.05.2015;29.7;26.9;24.35
08.05.2015;29.45;26.95;23.9
07.05.2015;31;28.5;24
06.05.2015;30.5;28.5;23.5
05.05.2015;31;28;24
04.05.2015;33.7;29.75;24.25
01.05.2015;32.65;28.35;24
30.04.2015;34;28.5;23.5
29.04.2015;34;28.5;23.5
28.04.2015;33.5;28.925;24
27.04.2015;34;29;24
24.04.2015;33.5;29.5;25
23.04.2015;32.375;27.5;22.5
22.04.2015;31.5;27.5;22.5
21.04.2015;32.65;26;23
20.04.2015;29;25.5;23
17.04.2015;30.5;24.5;23
16.04.2015;30;24;22
15.04.2015;27.5;23;21
14.04.2015;27.5;24.5;20.5
13.04.2015;27.5;23.5;22
10.04.2015;26;22;20
09.04.2015;22.5;21.5;20.5
08.04.2015;23;21.5;21
07.04.2015;23.5;22.5;22.5
06.04.2015;24.05;23.55;23.55
03.04.2015;23.55;23.55;23.2
02.04.2015;23.95;23.5;23.25
01.04.2015;23.9;23.35;23.1
31.03.2015;23;21.75;21.5
30.03.2015;24.5;23.25;22.5
27.03.2015;22.7;22.475;21.875
26.03.2015;22.5;22;21.25
25.03.2015;21.5;21.5;21
24.03.2015;21.5;21.5;20.5
23.03.2015;22.4;22.9;23.65
20.03.2015;22;21.5;21.5
19.03.2015;25;25;25.5
18.03.2015;29.375;28.875;26.75
17.03.2015;30.475;29.5;28
16.03.2015;30.5;29.05;28.5
13.03.2015;30.35;29.5;28
12.03.2015;31.5;30;28
11.03.2015;32.5;32;29.5
10.03.2015;31.5;29.4;28.75
09.03.2015;30.3;29.35;28.4
06.03.2015;31.5;29.5;28.5
05.03.2015;31.5;29.5;28.5
04.03.2015;32.5;30;28.5
03.03.2015;31.5;30.5;28.5
02.03.2015;32;30.5;28.5
27.02.2015;32.5;32.5;28
26.02.2015;33.5;32;29.5
25.02.2015;32;31;29
24.02.2015;35;32.5;29
23.02.2015;35.2;32.2;30.2
20.02.2015;31.5;31;29.125
19.02.2015;31.5;30;28.5
18.02.2015;32;36.175;30
17.02.2015;38;37;34
16.02.2015;38;37;35
13.02.2015;40;40;38
12.02.2015;40;40;38
11.02.2015;40;40;38
10.02.2015;39;39;36.5
09.02.2015;39;39;36.5
06.02.2015;42.3;40.85;37.85
05.02.2015;39.5;39;39
04.02.2015;39.5;39;39
03.02.2015;42;41;38
02.02.2015;46.15;42.15;37.55
30.01.2015;44.5;42.4;37.9
29.01.2015;40.25;37.25;34.55
28.01.2015;41;38;36
27.01.2015;46.25;46.25;37.5
26.01.2015;45;44.5;39.5
23.01.2015;44.9;48;40
22.01.2015;53;50.3;41
21.01.2015;57;52;41
20.01.2015;65.875;55.5;42
19.01.2015;62.55;54.3;43.45
16.01.2015;68.2;56.95;45.2
15.01.2015;69.75;60.9;46.5
14.01.2015;70.55;60;46
13.01.2015;70;53;44
12.01.2015;72.5;55;46
09.01.2015;70.95;52.5;42.95
08.01.2015;67.5;52.5;43.25
07.01.2015;69.225;57.825;43.275
06.01.2015;67.5;54.537;42.875
05.01.2015;67.5;52.525;40
02.01.2015;68.4;54.225;40.15
01.01.2015;65.7;52.475;39.4
31.12.2014;60.4;51.975;39.8
30.12.2014;65;53.025;42.5
29.12.2014;65.8;53.675;39.75
26.12.2014;60.7;53.175;39.45
25.12.2014;64.8;55.675;40.1
24.12.2014;66.8;56.325;40.9
23.12.2014;71.9;59.525;41.65
22.12.2014;68.6;55.188;39.25
19.12.2014;68.675;58.025;42.25
18.12.2014;72.15;58.8125;42
17.12.2014;66.6;47.5;41.25
16.12.2014;43;45.575;35
15.12.2014;52.95;45.675;34.15
12.12.2014;50;41.025;34
11.12.2014;38.95;36.575;29
10.12.2014;42;36;31
09.12.2014;42;36.4375;31
08.12.2014;40;34.75;30
05.12.2014;41.5;34.013;28.5
04.12.2014;41;34.387;28.5
03.12.2014;45.5;34;28
02.12.2014;50;32.5;27.5
01.12.2014;39;33;27
28.11.2014;32.65;25.75;22
27.11.2014;28.55;22.75;20.25
26.11.2014;26.5;21.388;16.75
25.11.2014;19.75;17.25;16.75
24.11.2014;19;17.05;16.75
21.11.2014;21.25;16.775;16.75
20.11.2014;21.25;17.888;17.25
19.11.2014;22.5;19;17.75
18.11.2014;25;20.5;18.5
17.11.2014;27;21.025;19
14.11.2014;32.5;23.5;20.05
13.11.2014;31;24.5;20.25
12.11.2014;31;24.5;20.25
11.11.2014;31;24.5;20.25
10.11.2014;32;24;20.75
07.11.2014;25;26.875;22.4
06.11.2014;26.25;21;19.35
05.11.2014;24.5;21;18.85
04.11.2014;23.5;20;18.5
03.11.2014;23.25;19.875;18.4
31.10.2014;21;19.025;17.75
30.10.2014;21;18;17
29.10.2014;17.1;16.75;16.825
28.10.2014;16.15;16;16
27.10.2014;16.5;15.875;16
24.10.2014;15.55;15.3;15.75
23.10.2014;14.538;14.175;14.387
22.10.2014;14.25;13.8;13.825
21.10.2014;14.25;13.8;13.9
20.10.2014;14.25;13.8;13.9
17.10.2014;13.5;13.5;13.675
16.10.2014;13.85;13.75;13.95
15.10.2014;13.5;13.2;13.6
14.10.2014;13.1;12.8;13.6
13.10.2014;12.45;12.45;13.15
10.10.2014;12.5;12.512;13.25
09.10.2014;11.8;11.9;12.75
08.10.2014;12;12.1;13
07.10.2014;11.65;11.725;12.8
06.10.2014;12.05;12.125;12.8
03.10.2014;12;12.4;12.9
02.10.2014;12.2;12.275;12.9
01.10.2014;12.55;12.425;12.95
30.09.2014;12.35;12.375;12.9
29.09.2014;12.95;12.612;13.1
26.09.2014;11.275;11.5625;12.575
25.09.2014;10.6;11;12.2
24.09.2014;10.3;10.9;12
23.09.2014;11.375;11.613;12.55
22.09.2014;11.85;12.012;12.7
19.09.2014;11.45;11.762;12.65
18.09.2014;12;12.275;13
17.09.2014;12.65;12.625;13
16.09.2014;13.7;12.95;13.5
15.09.2014;12.375;12.25;12.9
12.09.2014;11.275;11.238;12.4
11.09.2014;11;11.055;12.25
10.09.2014;11.05;11.15;12.35
09.09.2014;11.05;11.075;12.25
